CNMPER;PERCEUSE
CNMARM;ARMOIRE
CNMREF;REFREGERATEUR
CNMFOUR;FOUR
CNMBUR;BUREAU
CNMBMAI;BUREAU MAITRE
CNMTABC;TABLE CANTINE
CNMBANC;BANC
CNMTABMO;TABLE MONOPLACE 
CNMCCHFO;CHAISE FORMICA
CNMEAUT;FAUTEUIL
CNMAHA;CHAISE 
CNMTABBA;TABLE BASSE
CNMTELFIX;APPAREIL FIXE
CNMUNICE;UNITE CENTRALE
CNMECRAN;ECRAN
CNMSOUR;SOURIS
CNMCLAV;CLAVIER
CNMVPF;VIDEO PROJECTEUR FIXE
CNMVPM;VIDEO PROJECTEUR MOBILE
CNMCLIMA;CLIMATISEUR
CNMTV;TV
BUFFLE;CNMBUFF
CNMTBLMAG;TABLEAU MAGIQUE
CNMTBLAFF;TABLEAU D'AFFICHAGE
CNMSTR;STRADE
CNMPHOTO;PHOTOCOPIE
